country,year,tax_price_only,ets_price_only,has_tax,has_ets,any_carbon_price_dummy,carbon_price_max,tax_type,tax_price
Poland,2021,0.078624,49.779548,1,1,1,49.779548,3,49.779548
Poland,2022,0.076230,86.526108,1,1,1,86.526108,3,86.526108
Poland,2024,0.084981,61.301547,1,1,1,61.301547,3,61.301547
Poland,2025,0.098303,70.370124,1,1,1,70.370124,3,70.370124
Portugal,2019,14.169747,24.505716,1,1,1,24.505716,3,24.505716
Portugal,2020,13.791416,18.536520,1,1,1,18.536520,3,18.536520
Portugal,2021,27.813873,49.779548,1,1,1,49.779548,3,49.779548
Portugal,2022,26.170520,86.526108,1,1,1,86.526108,3,86.526108
Portugal,2023,25.751394,96.298125,1,1,1,96.298125,3,96.298125
Portugal,2024,25.453033,61.301547,1,1,1,61.301547,3,61.301547
Portugal,2025,72.700332,70.370124,1,1,1,72.700332,3,72.700332
Singapore,2019,3.693853,0.000000,1,0,1,3.693853,1,3.693853
Singapore,2020,3.510250,0.000000,1,0,1,3.510250,1,3.510250
Singapore,2021,3.713607,0.000000,1,0,1,3.713607,1,3.713607
Singapore,2022,3.685685,0.000000,1,0,1,3.685685,1,3.685685
Singapore,2023,3.767898,0.000000,1,0,1,3.767898,1,3.767898
Singapore,2024,18.478823,0.000000,1,0,1,18.478823,1,18.478823
Singapore,2025,18.619200,0.000000,1,0,1,18.619200,1,18.619200
Slovenia,2007,16.647500,1.251892,1,1,1,16.647500,3,16.647500
Slovenia,2008,19.575000,34.483320,1,1,1,34.483320,3,34.483320
Slovenia,2009,16.557500,15.550804,1,1,1,16.557500,3,16.557500
Slovenia,2010,16.835000,17.265976,1,1,1,17.265976,3,17.265976
Slovenia,2011,17.676250,23.756880,1,1,1,23.756880,3,23.756880
Slovenia,2012,19.232640,9.322488,1,1,1,19.232640,3,19.232640
Slovenia,2013,18.439200,6.043960,1,1,1,18.439200,3,18.439200
Slovenia,2014,19.857600,6.757100,1,1,1,19.857600,3,19.857600
Slovenia,2015,18.584640,7.689825,1,1,1,18.584640,3,18.584640
Slovenia,2016,19.777360,5.921776,1,1,1,19.777360,3,19.777360
Slovenia,2017,18.495430,5.644848,1,1,1,18.495430,3,18.495430
Slovenia,2018,21.315330,16.263720,1,1,1,21.315330,3,21.315330
Slovenia,2019,19.438280,24.505716,1,1,1,24.505716,3,24.505716
Slovenia,2020,18.919280,18.536520,1,1,1,18.919280,3,18.919280
Slovenia,2021,20.320580,49.779548,1,1,1,49.779548,3,49.779548
Slovenia,2022,19.119960,86.526108,1,1,1,86.526108,3,86.526108
Slovenia,2024,18.595770,61.301547,1,1,1,61.301547,3,61.301547
Slovenia,2025,33.280980,70.370124,1,1,1,70.370124,3,70.370124
South Africa,2020,7.059870,0.000000,1,0,1,7.059870,1,7.059870
South Africa,2021,9.150943,0.000000,1,0,1,9.150943,1,9.150943
South Africa,2022,9.835192,0.000000,1,0,1,9.835192,1,9.835192
South Africa,2023,8.925614,0.000000,1,0,1,8.925614,1,8.925614
South Africa,2024,10.085782,0.000000,1,0,1,10.085782,1,10.085782
South Africa,2025,12.848922,0.000000,1,0,1,12.848922,1,12.848922
Spain,2014,27.580000,6.757100,1,1,1,27.580000,3,27.580000
Spain,2015,21.510000,7.689825,1,1,1,21.510000,3,21.510000
Spain,2016,22.864000,5.921776,1,1,1,22.864000,3,22.864000
Spain,2017,21.382000,5.644848,1,1,1,21.382000,3,21.382000
Spain,2018,24.642000,16.263720,1,1,1,24.642000,3,24.642000
Spain,2019,16.854000,24.505716,1,1,1,24.505716,3,24.505716
Spain,2020,16.404000,18.536520,1,1,1,18.536520,3,18.536520
Spain,2021,17.619000,49.779548,1,1,1,49.779548,3,49.779548
Spain,2022,16.578000,86.526108,1,1,1,86.526108,3,86.526108
Spain,2023,16.312500,96.298125,1,1,1,96.298125,3,96.298125
Spain,2024,16.123500,61.301547,1,1,1,61.301547,3,61.301547
Spain,2025,16.182000,70.370124,1,1,1,70.370124,3,70.370124
Sweden,1994,43.433827,0.000000,1,0,1,43.433827,1,43.433827
Sweden,1995,46.117328,0.000000,1,0,1,46.117328,1,46.117328
Sweden,1996,55.648303,0.000000,1,0,1,55.648303,1,55.648303
Sweden,1997,49.120478,0.000000,1,0,1,49.120478,1,49.120478
Sweden,1998,46.276030,0.000000,1,0,1,46.276030,1,46.276030
Sweden,1999,44.618631,0.000000,1,0,1,44.618631,1,44.618631
